startType,condition,N,thr,pass_before,mean_before,median_before,iqr_before,p95_before,pass_after,mean_after,median_after,iqr_after,p95_after
csv,Pyramid,4,15,54.0816326530612,32.6789378344221,11.6357457243615,34.5700508490972,136.755613156003,96.6836734693878,5.13738212972547,3.79616696803111,6.08379391430606,13.5885416021744
csv,Tetrahedron,4,15,52.6854219948849,31.0364218813693,13.009414864742,38.0024345872286,118.308415979204,82.1428571428571,15.926550767178,4.17755175160127,9.6413899186965,104.061915759256
csv,Octahedron,6,15,52.0408163265306,93.1239911557703,13.8143508159386,30.478998424976,84.8751450696106,95.1530612244898,6.01346610153829,4.7793086398393,6.4683724526273,14.9893999910571
csv,Double tetrahedron,8,15,84.6938775510204,8.30987738537901,5.95718855869291,8.75187362848336,24.2109150860299,95.2040816326531,5.27856462206205,4.04675960081495,5.92136589239917,14.90624663831
csv,Pentagonal antiprism,10,15,83.6734693877551,7.59002623468765,5.15892285564589,9.13771661844247,21.5472128392155,95.1530612244898,5.29474573676517,3.84351429397779,5.53703370936513,14.7821876067694
csv,Icosahedron,12,15,87.5,7.08418952447727,5.22933290304249,7.68720437566115,18.6368649038194,96.1734693877551,4.87094421162218,3.4987075570439,4.68125269008999,14.3926972843237
random,Random,4,15,33.8775510204082,2608.91693629947,36.2661368415355,104.645231635452,587.54818062725,86.4795918367347,11.1380838284006,4.86013343884545,8.53606832113937,26.3523364672537
random,Random,6,15,62.2959183673469,518.373978788554,10.3523668870382,20.6274734762872,99.0114914994392,95.2551020408163,5.72952447186814,4.03661646880179,5.83769032898524,14.8613154985284
random,Random,8,15,85.6632653061225,9.1929947444228,5.33039110784605,8.38558903723151,25.5160493277012,95.2551020408163,5.52707621628318,3.95156630665097,5.78256579651545,14.6360112109278
random,Random,10,15,88.469387755102,7.06951379689318,4.97381189664219,7.59196446687307,21.1678353783533,95.969387755102,5.21803048713612,3.7931845674855,5.49263245614083,14.1500936678721
random,Random,12,15,92.6530612244898,5.92695562015539,4.07963577115885,6.3030163901115,17.2704024616529,96.8877551020408,4.95416762655252,3.6476205713015,5.06488868532848,13.4286817776282
